,source,element_id,element_path_value,element_short_value,element_definition_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_comment_value,element_type_code_value,element_condition_value,element_isSummary_value,element_isModifier_value,element_binding_extension_url,element_binding_extension_valueReference_reference_value,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_alias_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_sliceName_value,element_type_profile_value,element_mustSupport_value,element_representation_value,element_requirements_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_type_targetProfile_value,element_example_valueCode_value,element_extension_url,element_extension_valueBoolean_value,element_fixedUri_value
61,ARS|s_GPConnect-Appointment-1,Appointment.slot.identifier,Appointment.slot.identifier,"Logical reference, when literal reference is not known","An identifier for the other resource. This is used when there is no way to reference the other resource directly, either because the entity is not available through a FHIR server, or because there is no way for the author of the resource to convert a known identifier to an actual location. There is no requirement that a Reference.identifier point to something that is actually exposed as a FHIR instance, but it SHALL point to a business concept that would be expected to be exposed as a FHIR instance, and that instance would need to be of a FHIR resource type allowed by the reference.",0,1,0..1,Reference.identifier,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd', 'rim']","['n/a', 'CX / EI (occasionally, more often EI maps to a resource id or a URL)', 'II - see see identifier pattern at http://wiki.hl7.org/index.php?title=Common_Design_Patterns#Identifier_Pattern for relevant discussion. The Identifier class is a little looser than the v3 type II because it allows URIs as well as registered OIDs or GUIDs.  Also maps to Role[classCode=IDENT]', 'Identifier', '.identifier']","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy.   When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference  Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.",Identifier,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ARS|s_GPConnect-Appointment-1,Appointment.slot.display,Appointment.slot.display,Text alternative for the resource,Plain text narrative that identifies the resource in addition to the resource reference.,0,1,0..1,Reference.display,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.",string,ele-1,true,,,,,,,,,,,,,,,,,,,General,,Appointment Slot - Out of Hours GP Clinic - 19:30 - 19:45,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,
63,ARS|s_GPConnect-Appointment-1,Appointment.created,Appointment.created,The date that this appointment was initially created,"The date that this appointment was initially created. This could be different to the meta.lastModified value on the initial entry, as this could have been before the resource was created on the FHIR server, and should remain unchanged over the lifespan of the appointment.",0,1,0..1,Appointment.created,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', '.author.time']",This property is required for many use cases where the age of an appointment is considered in processing workflows for scheduling and billing of appointments.,dateTime,ele-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ARS|s_GPConnect-Appointment-1,Appointment.comment,Appointment.comment,Any additional comments about the appointment,Additional comments about the appointment.,0,1,0..1,Appointment.comment,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'ical']","['n/a', 'NTE-3', "".subjectOf.observation[@moodCode = 'EVN'][code = 'annotation'].value"", 'COMMENT']","Additional text to aid in facilitating the appointment. For instance, a comment might be, ""patient should proceed immediately to infusion room upon arrival""  Where this is a planned appointment and the start/end dates are not set then this field can be used to provide additional guidance on the details of the appointment request, including any restrictions on when to book it.",string,ele-1,,,,,,,,,,,,,,,,,,,,General,,Discussion on problem 'Increased pain in right arm.',,,,,
65,ARS|s_GPConnect-Appointment-1,Appointment.incomingReferral,Appointment.incomingReferral,The ReferralRequest provided as information to allocate to the Encounter,The referral request this appointment is allocated to assess (incoming referral).,0,0,0..0,Appointment.incomingReferral,0,*,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'rim']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', "".outboundRelationship[@typeCode = 'FLFS'].act[@classCode < 'ActCareProvisionRequestType'][@moodCode = 'RQO']""]","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",Reference,ele-1,,,,,,,,,,,,,,,,,,,,,,,http://hl7.org/fhir/StructureDefinition/ReferralRequest,,,,
66,ARS|s_GPConnect-Appointment-1,Appointment.participant,Appointment.participant,Participants involved in appointment,List of participants involved in the appointment.,1,*,1..*,Appointment.participant,1,*,"['ele-1', 'app-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Either the type or actor on the participant SHALL be specified']","['hasValue() | (children().count() > id.count())', 'type.exists() or actor.exists()']","['@value|f:*|h:div', '(exists(f:type) or exists(f:actor))']","['rim', 'v2', 'rim', 'ical']","['n/a', 'PID, AIP, AIG, AIL', 'performer | reusableDevice | subject | location', 'ATTENDEE component to be created']",,BackboneElement,ele-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ARS|s_GPConnect-Appointment-1,Appointment.participant.id,Appointment.participant.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,
68,ARS|s_GPConnect-Appointment-1,Appointment.participant.extension,Appointment.participant.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,
69,ARS|s_GPConnect-Appointment-1,Appointment.participant.modifierExtension,Appointment.participant.modifierExtension,Extensions that cannot be ignored,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",0,*,0..*,BackboneElement.modifierExtension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,true,true,,,,,,,,"['extensions', 'user content', 'modifiers']",,,,,,,,,,,,,,,,,
70,ARS|s_GPConnect-Appointment-1,Appointment.participant.type,Appointment.participant.type,Role of participant in the appointment,Role of participant in the appointment.,0,*,0..*,Appointment.participant.type,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim', 'ical']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'AIP-4, AIG-4', '(performer | reusableDevice | subject | location).@typeCode', 'n/a']","The role of the participant can be used to declare what the actor will be doing in the scope of this appointment.  If the actor is not specified, then it is expected that the actor will be filled in at a later stage of planning.  This value SHALL be the same when creating an AppointmentResponse so that they can be matched, and subsequently update the Appointment.",CodeableConcept,ele-1,true,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,,ParticipantType,,extensible,Role of participant in encounter.,http://hl7.org/fhir/ValueSet/encounter-participant-type,,,,,,,,,,,,,,,,,,
71,ARS|s_GPConnect-Appointment-1,Appointment.participant.actor,Appointment.participant.actor,"Person, Location/HealthcareService or Device","A Person, Location/HealthcareService or Device that is participating in the appointment.",1,1,1..1,Appointment.participant.actor,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'rim', 'ical', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'PID-3-Patient ID List | AIL-3 | AIG-3 | AIP-3', 'performer.person | reusableDevice.manufacturedDevice | subject.patient | location.serviceDeliveryLocation', 'ATTENDEE: (Need to provide the common name CN and also the MAILTO properties from the practitioner resource) where the participant type is not ""information-only""', 'who']","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.","['Reference', 'Reference', 'Reference', 'Reference', 'Reference', 'Reference']",ele-1,true,,,,,,,,,,,,,,,,,,,,,,"['http://hl7.org/fhir/StructureDefinition/RelatedPerson', 'http://hl7.org/fhir/StructureDefinition/HealthcareService', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Practitioner-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Location-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/GPConnect-Device-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Patient-1']",,,,
72,ARS|s_GPConnect-Appointment-1,Appointment.participant.required,Appointment.participant.required,required | optional | information-only,"Is this participant required to be present at the meeting. This covers a use-case where 2 doctors need to meet to discuss the results for a specific patient, and the patient is not required to be present.",0,1,0..1,Appointment.participant.required,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim', 'ical']","['n/a', '(performer | reusableDevice | subject | location).@performInd', 'ROLE=REQ-PARTICIPANT (roleparam)']",Note that FHIR strings may not exceed 1MB in size,code,ele-1,true,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,,ParticipantRequired,,required,Is the Participant required to attend the appointment.,http://hl7.org/fhir/ValueSet/participantrequired,,,,,,,,,,,,,,,,,,
73,ARS|s_GPConnect-Appointment-1,Appointment.participant.status,Appointment.participant.status,accepted | declined | tentative | needs-action,Participation status of the actor.,1,1,1..1,Appointment.participant.status,1,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'ical']","['n/a', 'AIP-12, AIG-14', '(performer | reusableDevice | subject | location).statusCode', 'ATTENDEE;CN=""Brian Postlethwaite"";RSVP=TRUE:mailto:BPostlethwaite@data.com (rsvpparam | partstatparam)']",Note that FHIR strings may not exceed 1MB in size,code,ele-1,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,,ParticipationStatus,,required,The Participation status of an appointment.,http://hl7.org/fhir/ValueSet/participationstatus,,,,,,,,,,,,,,,,,,
74,ARS|s_GPConnect-Appointment-1,Appointment.requestedPeriod,Appointment.requestedPeriod,Potential date/time interval(s) requested to allocate the appointment within,"A set of date ranges (potentially including times) that the appointment is preferred to be scheduled within. When using these values, the minutes duration should be provided to indicate the length of the appointment to fill and populate the start/end times for the actual allocated time.",0,0,0..0,Appointment.requestedPeriod,0,*,"['ele-1', 'per-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'If present, start SHALL have a lower value than end']","['hasValue() | (children().count() > id.count())', 'start.empty() or end.empty() or (start <= end)']","['@value|f:*|h:div', 'not(exists(f:start)) or not(exists(f:end)) or (f:start/@value <= f:end/@value)']","['rim', 'v2', 'rim', 'v2', 'rim']","['n/a', 'DR', 'IVL<TS>[lowClosed=""true"" and highClosed=""true""] or URG<TS>[lowClosed=""true"" and highClosed=""true""]', 'ARQ-11', "".activityTime[@xsi:type = ('SXPR_TS', 'PIVL_TS')]""]",This does not introduce a capacity for recurring appointments.,Period,ele-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
